Room,Capacity,Day,Available,Note
3,35,Monday,True,Gisma
3,35,Tuesday,False,
3,35,Wednesday,False,
3,35,Thursday,False,
3,35,Friday,False,
3,35,Saturday,False,
6,50,Monday,True,Gisma
6,50,Tuesday,True,Gisma
6,50,Wednesday,True,Gisma
6,50,Thursday,False,
6,50,Friday,False,
6,50,Saturday,False,
7,36,Monday,True,Gisma
7,36,Tuesday,True,Gisma
7,36,Wednesday,True,Gisma
7,36,Thursday,True,Gisma
7,36,Friday,True,Gisma
7,36,Saturday,True,Gisma
8,36,Monday,True,Gisma
8,36,Tuesday,True,Gisma
8,36,Wednesday,True,Gisma
8,36,Thursday,True,Gisma
8,36,Friday,True,Gisma
8,36,Saturday,True,Gisma
9,23,Monday,True,Gisma
9,23,Tuesday,True,Gisma
9,23,Wednesday,True,Gisma
9,23,Thursday,True,Gisma
9,23,Friday,True,Gisma
9,23,Saturday,True,Gisma
10,34,Monday,True,Gisma
10,34,Tuesday,True,Gisma
10,34,Wednesday,True,Gisma
10,34,Thursday,True,Gisma
10,34,Friday,True,Gisma
10,34,Saturday,True,Gisma
11,30,Monday,False,
11,30,Tuesday,False,
11,30,Wednesday,False,
11,30,Thursday,False,
11,30,Friday,True,Gisma
11,30,Saturday,False,
12,36,Monday,True,Gisma
12,36,Tuesday,False,
12,36,Wednesday,False,
12,36,Thursday,True,Gisma
12,36,Friday,False,
12,36,Saturday,False,
Auditorium,60,Monday,False,
Auditorium,60,Tuesday,False,
Auditorium,60,Wednesday,True,Gisma
Auditorium,60,Thursday,False,
Auditorium,60,Friday,False,
Auditorium,60,Saturday,False,
MacPool,25,Monday,True,Gisma
MacPool,25,Tuesday,True,Gisma (from 13:15)
MacPool,25,Wednesday,True,Gisma (from 14:00)
MacPool,25,Thursday,True,Gisma (from 13:15)
MacPool,25,Friday,False,
MacPool,25,Saturday,False,
